,gx,gy,gz
883,32323465,5723319,85.0
884,32323468,5723319,84.0
885,32323471,5723322,85.0
886,32323474,5723324,84.0
887,32323477,5723331,84.0
888,32323481,5723333,86.0
889,32323482,5723335,89.0
890,32323484,5723337,89.0
891,32323487,5723340,88.0
892,32323487,5723343,90.0
893,32323489,5723346,87.0
894,32323492,5723350,86.0
895,32323494,5723353,88.0
896,32323494,5723354,88.0
897,32323495,5723356,90.0
898,32323496,5723357,90.0
899,32323496,5723358,89.0
900,32323496,5723358,89.0
901,32323496,5723358,90.0
902,32323497,5723359,93.0
903,32323499,5723358,97.0
904,32323500,5723358,97.0
905,32323500,5723357,97.0
906,32323498,5723358,96.0
907,32323497,5723359,97.0
908,32323496,5723359,97.0
909,32323496,5723359,97.0
910,32323496,5723360,97.0
911,32323496,5723359,97.0
912,32323497,5723361,98.0
913,32323497,5723366,96.0
914,32323498,5723369,97.0
915,32323499,5723371,99.0
916,32323500,5723371,100.0
917,32323504,5723372,102.0
918,32323506,5723375,100.0
919,32323508,5723378,100.0
920,32323509,5723381,99.0
921,32323510,5723383,99.0
922,32323511,5723385,103.0
923,32323512,5723386,103.0
924,32323513,5723389,99.0
925,32323514,5723392,98.0
926,32323515,5723395,93.0
927,32323516,5723399,93.0
928,32323516,5723401,90.0
929,32323518,5723401,85.0
930,32323517,5723405,85.0
931,32323515,5723406,84.0
932,32323515,5723409,85.0
933,32323515,5723412,86.0
934,32323513,5723414,86.0
935,32323511,5723415,86.0
936,32323509,5723416,87.0
937,32323507,5723417,88.0
938,32323505,5723415,89.0
939,32323501,5723415,89.0
940,32323497,5723416,93.0
941,32323494,5723416,95.0
942,32323490,5723415,95.0
943,32323489,5723415,95.0
944,32323488,5723414,96.0
945,32323486,5723415,92.0
946,32323483,5723413,93.0
947,32323479,5723412,94.0
948,32323474,5723411,94.0
949,32323468,5723410,97.0
950,32323464,5723405,101.0
951,32323460,5723400,102.0
952,32323456,5723397,102.0
953,32323451,5723396,99.0
954,32323447,5723394,95.0
955,32323445,5723394,93.0
956,32323443,5723394,91.0
957,32323440,5723390,91.0
958,32323436,5723388,91.0
959,32323434,5723384,92.0
960,32323431,5723385,93.0
961,32323428,5723382,93.0
962,32323426,5723381,92.0
963,32323424,5723379,93.0
964,32323423,5723377,93.0
965,32323421,5723376,94.0
966,32323421,5723375,93.0
967,32323422,5723372,96.0
968,32323423,5723370,98.0
969,32323423,5723369,99.0
970,32323423,5723368,99.0
971,32323421,5723367,98.0
972,32323420,5723368,95.0
973,32323418,5723368,95.0
974,32323417,5723366,95.0
975,32323418,5723362,93.0
976,32323414,5723360,93.0
977,32323407,5723355,93.0
978,32323402,5723348,94.0
979,32323398,5723343,94.0
980,32323394,5723340,96.0
981,32323389,5723335,98.0
982,32323383,5723328,100.0
983,32323378,5723320,102.0
984,32323372,5723311,103.0
985,32323366,5723304,103.0
986,32323362,5723297,103.0
987,32323358,5723291,99.0
988,32323354,5723286,95.0
989,32323347,5723282,96.0
990,32323339,5723278,94.0
991,32323333,5723279,94.0
992,32323327,5723282,97.0
993,32323320,5723283,96.0
994,32323314,5723283,93.0
